,Pos.,Neu.,Neg.,Summary
men T1,0.0,1.0,0.0,0.0
men T2,0.0,0.775,0.225,-0.7003
mgtow T1,0.0,1.0,0.0,0.0
mgtow T2,0.0,1.0,0.0,0.0
dudes T1,0.112,0.645,0.243,-0.436
dudes T2,0.0,1.0,0.0,0.0
boys T1,0.0,1.0,0.0,0.0
boys T2,0.0,1.0,0.0,0.0
Neil deGrasse Tyson T1,0.213,0.787,0.0,0.2263
Neil deGrasse Tyson T2,0.0,0.821,0.179,-0.5423
women T1,0.0,1.0,0.0,0.0
women T2,0.21,0.56,0.23,-0.0859
feminism T1,0.113,0.781,0.105,0.0516
feminism T2,0.0,0.652,0.348,-0.75
ladies T1,0.064,0.936,0.0,0.0772
ladies T2,0.147,0.853,0.0,0.2263
girls T1,0.333,0.667,0.0,0.7902
girls T2,0.0,0.761,0.239,-0.6597
Grace Hopper T1,0.167,0.833,0.0,0.4215
Grace Hopper T2,0.126,0.721,0.153,-0.1513
